Galar Pokedex Number,Pokemon,Ability I,Ability II,Hidden Ability,Type I,Type II,HP,Atk,Def,SpAtk,SpDef,Speed,Weight_kg,Height_m,Weight_lbs,Height_ft,Cap_Rate,Egg_Steps,Classification
89,Golurk,Iron Fist,Klutz,No Guard,ground,ghost,89,124,80,55,80,55,330.0,2.8,727.5,9.167,90.0,6400.0,Automaton Pokémon
90,Munna,Forewarn,Synchronize,Telepathy,psychic,NaN,76,25,45,67,55,24,23.3,0.6,51.4,2.0,190.0,2560.0,Dream Eater Pokémon
91,Musharna,Forewarn,Synchronize,Telepathy,psychic,NaN,116,55,85,107,95,29,60.5,1.1,133.4,3.583,75.0,2560.0,Drowsing Pokémon
92,Natu,Synchronize,Early Bird,Magic Bounce,psychic,flying,40,50,45,70,45,70,2.0,0.2,4.4,0.667,190.0,5120.0,Little Bird Pokémon
93,Xatu,Synchronize,Early Bird,Magic Bounce,psychic,flying,65,75,70,95,70,95,15.0,1.5,33.1,4.917,75.0,5120.0,Mystic Pokémon
94,Stufful,Fluffy,Klutz,Cute Charm,normal,fighting,70,75,50,45,50,50,6.8,0.5,15.0,1.667,140.0,3840.0,Flailing Pokémon
95,Bewear,Fluffy,Klutz,Unnerve,normal,fighting,120,125,80,55,60,60,135.0,2.1,297.6,6.917,70.0,3840.0,Strong Arm Pokémon
96,Snover,Snow Warning,NaN,Soundproof,grass,ice,60,62,50,62,60,40,50.5,1.0,111.3,3.25,120.0,5120.0,Frosted Tree Pokémon
97,Abomasnow,Snow Warning,NaN,Soundproof,grass,ice,90,92,75,92,85,60,135.5,2.2,298.7,7.25,60.0,5120.0,Frosted Tree Pokémon
98,Krabby,Hyper Cutter,Shell Armor,Sheer Force,water,NaN,30,105,90,25,25,50,6.5,0.4,14.3,1.333,225.0,5120.0,River Crab Pokémon
99,Kingler,Hyper Cutter,Shell Armor,Sheer Force,water,NaN,55,130,115,50,50,75,60.0,1.3,132.3,4.25,60.0,5120.0,Pincer Pokémon
100,Wooper,Damp,Water Absorb,Unaware,water,ground,55,45,45,25,25,15,8.5,0.4,18.7,1.333,255.0,5120.0,Water Fish Pokémon
101,Quagsire,Damp,Water Absorb,Unaware,water,ground,95,85,85,65,65,35,75.0,1.4,165.3,4.583,90.0,5120.0,Water Fish Pokémon
102,Corphish,Hyper Cutter,Shell Armor,Adaptability,water,NaN,43,80,65,50,35,35,11.5,0.6,25.4,2.0,205.0,3840.0,Ruffian Pokémon
103,Crawdaunt,Hyper Cutter,Shell Armor,Adaptability,water,dark,63,120,85,90,55,55,32.8,1.1,72.3,3.583,155.0,3840.0,Rogue Pokémon
104,Nincada,Compoundeyes,NaN,Run Away,bug,ground,31,45,90,30,30,40,5.5,0.5,12.1,1.667,255.0,3840.0,Trainee Pokémon
105,Ninjask,Speed Boost,NaN,Infiltrator,bug,flying,61,90,45,50,50,160,12.0,0.8,26.5,2.583,120.0,3840.0,Ninja Pokémon
106,Shedinja,Wonder Guard,NaN,NaN,bug,ghost,1,90,45,30,30,40,1.2,0.8,2.6,2.583,45.0,3840.0,Shed Pokémon
107,Tyrogue,Guts,Steadfast,Vital Spirit,fighting,NaN,35,35,35,35,35,35,21.0,0.7,46.3,2.333,75.0,6400.0,Scuffle Pokémon
108,Hitmonlee,Limber,Reckless,Unburden,fighting,NaN,50,120,53,35,110,87,49.8,1.5,109.8,4.917,45.0,6400.0,Kicking Pokémon
109,Hitmonchan,Keen Eye,Iron Fist,Inner Focus,fighting,NaN,50,105,79,35,110,76,50.2,1.4,110.7,4.583,45.0,6400.0,Punching Pokémon
110,Hitmontop,Intimidate,Technician,Steadfast,fighting,NaN,50,95,95,35,110,70,48.0,1.4,105.8,4.583,45.0,6400.0,Handstand Pokémon
111,Pancham,Iron Fist,Mold Breaker,Scrappy,fighting,NaN,67,82,62,46,48,43,8.0,0.6,17.6,2.0,220.0,6400.0,Playful Pokémon
112,Pangoro,Iron Fist,Mold Breaker,Scrappy,fighting,dark,95,124,78,69,71,58,136.0,2.1,299.8,6.917,65.0,6400.0,Daunting Pokémon
113,Klink,Plus,Minus,Clear Body,steel,NaN,40,55,70,45,60,30,21.0,0.3,46.3,1.0,130.0,5120.0,Gear Pokémon
114,Klang,Plus,Minus,Clear Body,steel,NaN,60,80,95,70,85,50,51.0,0.6,112.4,2.0,60.0,5120.0,Gear Pokémon
115,Klinklang,Plus,Minus,Clear Body,steel,NaN,60,100,115,70,85,90,81.0,0.6,178.6,2.0,30.0,5120.0,Gear Pokémon
116,Combee,Honey Gather,NaN,Hustle,bug,flying,30,30,42,30,42,70,5.5,0.3,12.1,1.0,120.0,3840.0,Tiny Bee Pokémon
117,Vespiquen,Pressure,NaN,Unnerve,bug,flying,70,80,102,80,102,40,38.5,1.2,84.9,3.917,45.0,3840.0,Beehive Pokémon
118,Bronzor,Levitate,Heatproof,Heavy Metal,steel,psychic,57,24,86,24,86,23,60.5,0.5,133.4,1.667,255.0,5120.0,Bronze Pokémon
119,Bronzong,Levitate,Heatproof,Heavy Metal,steel,psychic,67,89,116,79,116,33,187.0,1.3,412.3,4.25,90.0,5120.0,Bronze Bell Pokémon
120,Ralts,Synchronize,Trace,Telepathy,psychic,fairy,28,25,25,45,35,40,6.6,0.4,14.6,1.333,235.0,5120.0,Feeling Pokémon
121,Kirlia,Synchronize,Trace,Telepathy,psychic,fairy,38,35,35,65,55,50,20.2,0.8,44.5,2.583,120.0,5120.0,Emotion Pokémon
122,Gardevoir,Synchronize,Trace,Telepathy,psychic,fairy,68,65,65,125,115,80,48.4,1.6,106.7,5.25,45.0,5120.0,Embrace Pokémon
123,Gallade,Steadfast,NaN,Justified,psychic,fighting,68,125,65,65,115,80,52.0,1.6,114.6,5.25,45.0,5120.0,Blade Pokémon
124,Drifloon,Aftermath,Unburden,Flare Boost,ghost,flying,90,50,34,60,44,70,1.2,0.4,2.6,1.333,125.0,7680.0,Balloon Pokémon
125,Drifblim,Aftermath,Unburden,Flare Boost,ghost,flying,150,80,44,90,54,80,15.0,1.2,33.1,3.917,60.0,7680.0,Blimp Pokémon
126,Gossifleur,Cotton Down,Regenerator,Effect Spore,grass,NaN,40,40,60,40,60,10,2.2,0.4,4.9,1.333,190.0,5120.0,Flowering Pokémon
127,Eldegoss,Cotton Down,Regenerator,Effect Spore,grass,NaN,60,50,90,80,120,60,2.5,0.5,5.5,1.667,75.0,5120.0,Cotton Bloom Pokémon
128,Cherubi,Chlorophyll,NaN,NaN,grass,NaN,45,35,45,62,53,35,3.3,0.4,7.3,1.333,190.0,5120.0,Cherry Pokémon
129,Cherrim,Flower Gift,NaN,NaN,grass,NaN,70,60,70,87,78,85,9.3,0.5,20.5,1.667,75.0,5120.0,Blossom Pokémon
130,Stunky,Stench,Aftermath,Keen Eye,poison,dark,63,63,47,41,41,74,19.2,0.4,42.3,1.333,225.0,5120.0,Skunk Pokémon
131,Skuntank,Stench,Aftermath,Keen Eye,poison,dark,103,93,67,71,61,84,38.0,1.0,83.8,3.25,60.0,5120.0,Skunk Pokémon
132,Tympole,Swift Swim,Hydration,Water Absorb,water,NaN,50,50,40,50,40,64,4.5,0.5,9.9,1.667,255.0,5120.0,Tadpole Pokémon
133,Palpitoad,Swift Swim,Hydration,Water Absorb,water,ground,75,65,55,65,55,69,17.0,0.8,37.5,2.583,120.0,5120.0,Vibration Pokémon
134,Seismitoad,Swift Swim,Poison Touch,Water Absorb,water,ground,105,95,75,85,75,74,62.0,1.5,136.7,4.917,45.0,5120.0,Vibration Pokémon
135,Duskull,Levitate,NaN,Frisk,ghost,NaN,20,40,90,30,90,25,15.0,0.8,33.1,2.583,190.0,6400.0,Requiem Pokémon
136,Dusclops,Pressure,NaN,Frisk,ghost,NaN,40,70,130,60,130,25,30.6,1.6,67.5,5.25,90.0,6400.0,Beckon Pokémon
137,Dusknoir,Pressure,NaN,Frisk,ghost,NaN,45,100,135,65,135,45,106.6,2.2,235.0,7.25,45.0,6400.0,Gripper Pokémon
138,Machop,Guts,No Guard,Steadfast,fighting,NaN,70,80,50,35,35,35,19.5,0.8,43.0,2.583,180.0,5120.0,Superpower Pokémon
139,Machoke,Guts,No Guard,Steadfast,fighting,NaN,80,100,70,50,60,45,70.5,1.5,155.4,4.917,90.0,5120.0,Superpower Pokémon
140,Machamp,Guts,No Guard,Steadfast,fighting,NaN,90,130,80,65,85,55,130.0,1.6,286.6,5.25,45.0,5120.0,Superpower Pokémon
141,Gastly,Levitate,NaN,NaN,ghost,poison,30,35,30,100,35,80,0.1,1.3,0.2,4.25,190.0,5120.0,Gas Pokémon
142,Haunter,Levitate,NaN,NaN,ghost,poison,45,50,45,115,55,95,0.1,1.6,0.2,5.25,90.0,5120.0,Gas Pokémon
143,Gengar,Cursed Body,NaN,NaN,ghost,poison,60,65,60,130,75,110,40.5,1.5,89.3,4.917,45.0,5120.0,Shadow Pokémon
144,Magikarp,Swift Swim,NaN,Rattled,water,NaN,20,10,55,15,20,80,10.0,0.9,22.0,2.917,255.0,1280.0,Fish Pokémon
145,Gyarados,Intimidate,NaN,Moxie,water,flying,95,125,79,60,100,81,235.0,6.5,518.1,21.333,45.0,1280.0,Atrocious Pokémon
146,Goldeen,Swift Swim,Water Veil,Lightning Rod,water,NaN,45,67,60,35,50,63,15.0,0.6,33.1,2.0,225.0,5120.0,Goldfish Pokémon
147,Seaking,Swift Swim,Water Veil,Lightning Rod,water,NaN,80,92,65,65,80,68,39.0,1.3,86.0,4.25,60.0,5120.0,Goldfish Pokémon
148,Remoraid,Hustle,Sniper,Moody,water,NaN,35,65,35,65,35,65,12.0,0.6,26.5,2.0,190.0,5120.0,Jet Pokémon
149,Octillery,Suction Cups,Sniper,Moody,water,NaN,75,105,75,105,75,45,28.5,0.9,62.8,2.917,75.0,5120.0,Jet Pokémon
150,Shellder,Shell Armor,Skill Link,Overcoat,water,NaN,30,65,100,45,25,40,4.0,0.3,8.8,1.0,190.0,5120.0,Bivalve Pokémon
151,Cloyster,Shell Armor,Skill Link,Overcoat,water,ice,50,95,180,85,45,70,132.5,1.5,292.1,4.917,60.0,5120.0,Bivalve Pokémon
152,Feebas,Swift Swim,Oblivious,Adaptability,water,NaN,20,15,20,10,55,80,7.4,0.6,16.3,2.0,255.0,5120.0,Fish Pokémon
153,Milotic,Marvel Scale,Competitive,Cute Charm,water,NaN,95,60,79,100,125,81,162.0,6.2,357.1,20.333,60.0,5120.0,Tender Pokémon
154,Basculin,Reckless,Adaptability,Mold Breaker,water,NaN,70,92,65,80,55,98,18.0,1.0,39.7,3.25,25.0,10240.0,Hostile Pokémon
155,Wishiwashi,Schooling,NaN,NaN,water,NaN,45,20,20,25,25,40,0.3,0.2,0.7,0.667,60.0,3840.0,Small Fry Pokémon
156,Pyukumuku,Innards Out,NaN,Unaware,water,NaN,55,60,130,30,130,5,1.2,0.3,2.6,1.0,60.0,3840.0,Sea Cucumber Pokémon
157,Trubbish,Stench,Sticky Hold,Aftermath,poison,NaN,50,50,62,40,62,65,31.0,0.6,68.3,2.0,190.0,5120.0,Trash Bag Pokémon
158,Garbodor,Stench,Weak Armor,Aftermath,poison,NaN,80,95,82,60,82,75,107.3,1.9,236.6,6.25,60.0,5120.0,Trash Heap Pokémon
159,Sizzlipede,Flash Fire,White Smoke,Flame Body,fire,bug,50,65,45,50,50,45,1.0,0.7,2.2,2.333,190.0,5120.0,Radiator Pokémon
160,Centiskorch,Flash Fire,White Smoke,Flame Body,fire,bug,100,115,65,90,90,65,120.0,3.0,264.6,9.833,75.0,5120.0,Radiator Pokémon
161,Rolycoly,Steam Engine,Heatproof,Flash Fire,rock,NaN,30,40,50,40,50,30,12.0,0.3,26.5,1.0,255.0,3840.0,Coal Pokémon
162,Carkol,Steam Engine,Flame Body,Flash Fire,rock,fire,80,60,90,60,70,50,78.0,1.1,172.0,3.583,120.0,3840.0,Coal Pokémon
163,Coalossal,Steam Engine,Flame Body,Flash Fire,rock,fire,110,80,120,80,90,30,310.5,2.8,684.5,9.167,45.0,3840.0,Coal Pokémon
164,Diglett,Sand Veil,Arena Trap,Sand Force,ground,NaN,10,55,25,35,45,95,0.8,0.2,1.8,0.667,255.0,5120.0,Mole Pokémon
165,Dugtrio,Sand Veil,Arena Trap,Sand Force,ground,NaN,35,100,50,50,70,120,33.3,0.7,73.4,2.333,50.0,5120.0,Mole Pokémon
166,Drilbur,Sand Rush,Sand Force,Mold Breaker,ground,NaN,60,85,40,30,45,68,8.5,0.3,18.7,1.0,120.0,5120.0,Mole Pokémon
167,Excadrill,Sand Rush,Sand Force,Mold Breaker,ground,steel,110,135,60,50,65,88,40.4,0.7,89.1,2.333,60.0,5120.0,Subterrene Pokémon
168,Roggenrola,Sturdy,Weak Armor,Sand Force,rock,NaN,55,75,85,25,25,15,18.0,0.4,39.7,1.333,255.0,3840.0,Mantle Pokémon
169,Boldore,Sturdy,Weak Armor,Sand Force,rock,NaN,70,105,105,50,40,20,102.0,0.9,224.9,2.917,120.0,3840.0,Ore Pokémon
170,Gigalith,Sturdy,Sand Stream,Sand Force,rock,NaN,85,135,130,60,80,25,260.0,1.7,573.2,5.583,45.0,3840.0,Compressed Pokémon
171,Timburr,Guts,Sheer Force,Iron Fist,fighting,NaN,75,80,55,25,35,35,12.5,0.6,27.6,2.0,180.0,5120.0,Muscular Pokémon
172,Gurdurr,Guts,Sheer Force,Iron Fist,fighting,NaN,85,105,85,40,50,40,40.0,1.2,88.2,3.917,90.0,5120.0,Muscular Pokémon
173,Conkeldurr,Guts,Sheer Force,Iron Fist,fighting,NaN,105,140,95,55,65,45,87.0,1.4,191.8,4.583,45.0,5120.0,Muscular Pokémon
