Index,Pokemon,HP,Atk,Def,SpAtk,SpDef,Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,Color
98,Shellder,30,65,100,45,25,40,305,Water,,Shell Armor,Skill Link,Overcoat,Purple
99,Cloyster,50,90,180,85,45,70,520,Water,Ice,Shell Armor,Skill Link,Overcoat,Purple
100,Gastly,30,35,30,100,35,80,310,Ghost,Poison,Levitate,,,Purple
101,Haunter,45,50,45,115,55,95,405,Ghost,Poison,Levitate,,,Purple
102,Gengar,60,65,60,130,75,110,500,Ghost,Poison,Levitate,,,Purple
103,Onix,35,45,160,30,45,70,385,Rock,Ground,Rock Head,Sturdy,Weak Armor,Gray
105,Drowzee,60,48,45,43,90,42,328,Psychic,,Insomnia,Forewarn,Inner Focus,Yellow
106,Hypno,85,73,70,73,115,67,483,Psychic,,Insomnia,Forewarn,Inner Focus,Yellow
107,Krabby,30,105,90,25,25,50,325,Water,,Hyper Cutter,Shell Armor,Sheer Force,Red
108,Kingler,55,130,115,50,50,75,475,Water,,Hyper Cutter,Shell Armor,Sheer Force,Red
109,Voltorb,40,30,50,55,55,100,330,Electric,,Soundproof,Static,Aftermath,Red
110,Electrode,60,50,70,80,80,140,480,Electric,,Soundproof,Static,Aftermath,Red
111,Exeggcute,60,40,80,60,45,40,325,Grass,Psychic,Chlorophyll,,Harvest,Pink
112,Exeggutor,95,95,85,125,65,55,520,Grass,Psychic,Chlorophyll,,Harvest,Yellow
113,Cubone,50,50,95,40,50,35,320,Ground,,Rock Head,Lightningrod,Battle Armor,Brown
114,Marowak,60,80,110,50,80,45,425,Ground,,Rock Head,Lightningrod,Battle Armor,Brown
116,Hitmonlee,50,120,53,35,110,87,455,Fighting,,Limber,Reckless,Unburden,Brown
117,Hitmonchan,50,105,79,35,110,76,455,Fighting,,Keen Eye,Iron Fist,Inner Focus,Brown
119,Lickitung,90,55,75,60,75,30,385,Normal,,Own Tempo,Oblivious,Cloud Nine,Pink
121,Koffing,40,65,95,60,45,35,340,Poison,,Levitate,,,Purple
122,Weezing,65,90,120,85,70,60,490,Poison,,Levitate,,,Purple
123,Rhyhorn,80,85,95,30,30,25,345,Ground,Rock,Lightningrod,Rock Head,Reckless,Gray
124,Rhydon,105,130,120,45,45,40,485,Ground,Rock,Lightningrod,Rock Head,Reckless,Gray
127,Chansey,250,5,5,35,105,50,450,Normal,,Natural Cure,Serene Grace,Healer,Pink
129,Tangela,65,55,115,100,40,60,435,Grass,,Chlorophyll,Leaf Guard,Regenerator,Blue
131,Kangaskhan,105,95,80,40,80,90,490,Normal,,Early Bird,Scrappy,Inner Focus,Brown
132,Horsea,30,40,70,70,25,60,295,Water,,Swift Swim,Sniper,Damp,Blue
133,Seadra,55,65,95,95,45,85,440,Water,,Poison Point,Sniper,Damp,Blue
135,Goldeen,45,67,60,35,50,63,320,Water,,Swift Swim,Water Veil,Lightningrod,Red
136,Seaking,80,92,65,65,80,68,450,Water,,Swift Swim,Water Veil,Lightningrod,Red
137,Staryu,30,45,55,70,55,85,340,Water,,Illuminate,Natural Cure,Analytic,Brown
138,Starmie,60,75,85,100,85,115,520,Water,Psychic,Illuminate,Natural Cure,Analytic,Purple
140,Mr. Mime,40,45,65,100,120,90,460,Psychic,Fairy,Soundproof,Filter,Technician,Pink
141,Scyther,70,110,80,55,80,105,500,Bug,Flying,Swarm,Technician,Steadfast,Green
144,Jynx,65,50,35,115,95,95,455,Ice,Psychic,Oblivious,Forewarn,Dry Skin,Red
146,Electabuzz,65,83,57,95,85,105,490,Electric,,Static,,Vital Spirit,Yellow
149,Magmar,65,95,57,100,85,93,495,Fire,,Flame Body,,Vital Spirit,Red
151,Pinsir,65,125,100,55,70,85,500,Bug,,Hyper Cutter,Mold Breaker,Moxie,Brown
152,Tauros,75,100,95,40,70,110,490,Normal,,Intimidate,Anger Point,Sheer Force,Brown
153,Magikarp,20,10,55,15,20,80,200,Water,,Swift Swim,,Rattled,Red
154,Gyarados,95,125,79,60,100,81,540,Water,Flying,Intimidate,,Moxie,Blue
155,Lapras,130,85,80,85,95,60,535,Water,Ice,Water Absorb,Shell Armor,Hydration,Blue
156,Ditto,48,48,48,48,48,48,288,Normal,,Limber,,Imposter,Purple
157,Eevee,55,55,50,45,65,55,325,Normal,,Run Away,Adaptability,Anticipation,Brown
158,Vaporeon,130,65,60,110,95,65,525,Water,,Water Absorb,,Hydration,Blue
159,Jolteon,65,65,60,110,95,130,525,Electric,,Volt Absorb,,Quick Feet,Yellow
160,Flareon,65,130,60,95,110,65,525,Fire,,Flash Fire,,Guts,Red
165,Porygon,65,60,70,85,75,40,395,Normal,,Trace,Download,Analytic,Pink
168,Omanyte,35,40,100,90,55,35,355,Rock,Water,Swift Swim,Shell Armor,Weak Armor,Blue
169,Omastar,70,60,125,115,70,55,495,Rock,Water,Swift Swim,Shell Armor,Weak Armor,Blue
170,Kabuto,30,80,90,55,45,55,355,Rock,Water,Swift Swim,Battle Armor,Weak Armor,Brown
171,Kabutops,60,115,105,65,70,80,495,Rock,Water,Swift Swim,Battle Armor,Weak Armor,Brown
172,Aerodactyl,80,105,65,60,75,130,515,Rock,Flying,Rock Head,Pressure,Unnerve,Purple
174,Snorlax,160,110,65,65,110,30,540,Normal,,Immunity,Thick Fat,Gluttony,Black
175,Articuno,90,85,100,95,125,85,580,Ice,Flying,Pressure,,Snow Cloak,Blue
176,Zapdos,90,90,85,125,90,100,580,Electric,Flying,Pressure,,Lightningrod,Yellow
177,Moltres,90,100,90,125,85,90,580,Fire,Flying,Pressure,,Flame Body,Yellow
178,Dratini,41,64,45,50,50,50,300,Dragon,,Shed Skin,,Marvel Scale,Blue
179,Dragonair,61,84,65,70,70,70,420,Dragon,,Shed Skin,,Marvel Scale,Blue
180,Dragonite,91,134,95,100,100,80,600,Dragon,Flying,Inner Focus,,Multiscale,Brown
181,Mewtwo,106,110,90,154,90,130,680,Psychic,,Pressure,,Unnerve,Purple
182,Mew,100,100,100,100,100,100,600,Psychic,,Synchronize,,,Pink
183,Chikorita,45,49,65,49,65,45,318,Grass,,Overgrow,,Leaf Guard,Green
184,Bayleef,60,62,80,63,80,69,414,Grass,,Overgrow,,Leaf Guard,Green
185,Meganium,80,82,100,83,100,80,525,Grass,,Overgrow,,Leaf Guard,Green
186,Cyndaquil,39,52,43,60,50,65,309,Fire,,Blaze,,Flash Fire,Yellow
187,Quilava,58,64,58,80,65,80,405,Fire,,Blaze,,Flash Fire,Yellow
188,Typhlosion,78,84,78,109,85,100,534,Fire,,Blaze,,Flash Fire,Yellow
189,Totodile,50,65,64,44,48,43,314,Water,,Torrent,,Sheer Force,Blue
190,Croconaw,65,80,80,59,63,58,405,Water,,Torrent,,Sheer Force,Blue
191,Feraligatr,85,105,100,79,83,78,530,Water,,Torrent,,Sheer Force,Blue
192,Sentret,35,46,34,35,45,20,215,Normal,,Run Away,Keen Eye,Frisk,Brown
193,Furret,85,76,64,45,55,90,415,Normal,,Run Away,Keen Eye,Frisk,Brown
194,Hoothoot,60,30,30,36,56,50,262,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,Brown
195,Noctowl,100,50,50,76,96,70,442,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,Brown
196,Ledyba,40,20,30,40,80,55,265,Bug,Flying,Swarm,Early Bird,Rattled,Red
197,Ledian,55,35,50,55,110,85,390,Bug,Flying,Swarm,Early Bird,Iron Fist,Red
198,Spinarak,40,60,40,40,40,30,250,Bug,Poison,Swarm,Insomnia,Sniper,Green
199,Ariados,70,90,70,60,60,40,390,Bug,Poison,Swarm,Insomnia,Sniper,Red
46,Crobat,85,90,80,70,80,130,535,Poison,Flying,Inner Focus,,Infiltrator,Purple
200,Chinchou,75,38,38,56,56,67,330,Water,Electric,Volt Absorb,Illuminate,Water Absorb,Blue
201,Lanturn,125,58,58,76,76,67,460,Water,Electric,Volt Absorb,Illuminate,Water Absorb,Blue
25,Pichu,20,40,15,35,35,60,205,Electric,,Static,,Lightningrod,Yellow
36,Cleffa,50,25,28,45,55,15,218,Fairy,,Cute Charm,Magic Guard,Friend Guard,Pink
41,Igglybuff,90,30,15,40,20,15,210,Normal,Fairy,Cute Charm,,Friend Guard,Pink
202,Togepi,35,20,65,40,65,20,245,Fairy,,Hustle,Serene Grace,Super Luck,White
203,Togetic,55,40,85,80,105,40,405,Fairy,Flying,Hustle,Serene Grace,Super Luck,White
205,Natu,40,50,45,70,45,70,320,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,Green
206,Xatu,65,75,70,95,70,95,470,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,Green
207,Mareep,55,40,40,65,45,35,280,Electric,,Static,,Plus,White
208,Flaaffy,70,55,55,80,60,45,365,Electric,,Static,,Plus,Pink
209,Ampharos,90,75,75,115,90,55,500,Electric,,Static,,Plus,Yellow
50,Bellossom,75,80,85,90,100,50,480,Grass,,Chlorophyll,,Healer,Green
211,Marill,70,20,50,20,50,40,250,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,Blue
212,Azumarill,100,50,80,50,80,50,410,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,Blue
214,Sudowoodo,70,100,115,30,65,30,410,Rock,,Sturdy,Rock Head,Rattled,Brown
68,Politoed,90,75,75,90,100,70,500,Water,,Water Absorb,Damp,Drizzle,Green
215,Hoppip,35,35,40,35,55,50,250,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,Pink
216,Skiploom,55,45,50,45,65,80,340,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,Green
217,Jumpluff,75,55,70,55,85,110,450,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,Blue
218,Aipom,55,70,55,40,55,85,360,Normal,,Run Away,Pickup,Skill Link,Purple
220,Sunkern,30,30,30,30,30,30,180,Grass,,Chlorophyll,Solar Power,Early Bird,Yellow
221,Sunflora,75,75,55,105,85,30,425,Grass,,Chlorophyll,Solar Power,Early Bird,Yellow
222,Yanma,65,65,45,75,45,95,390,Bug,Flying,Speed Boost,Compoundeyes,Frisk,Red
224,Wooper,55,45,45,25,25,15,210,Water,Ground,Damp,Water Absorb,Unaware,Blue
225,Quagsire,95,85,85,65,65,35,430,Water,Ground,Damp,Water Absorb,Unaware,Blue
161,Espeon,65,65,60,130,95,110,525,Psychic,,Synchronize,,Magic Bounce,Purple
162,Umbreon,95,65,110,60,130,65,525,Dark,,Synchronize,,Inner Focus,Black
226,Murkrow,60,85,42,85,42,91,405,Dark,Flying,Insomnia,Super Luck,Prankster,Black
87,Slowking,95,75,80,100,110,30,490,Water,Psychic,Oblivious,Own Tempo,Regenerator,Pink
228,Misdreavus,60,60,60,85,85,85,435,Ghost,,Levitate,,,Gray
230,Unown,48,72,48,72,48,48,336,Psychic,,Levitate,,,Black
232,Wobbuffet,190,33,58,33,58,33,405,Psychic,,Shadow Tag,,Telepathy,Blue
233,Girafarig,70,80,65,90,65,85,455,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,Yellow
234,Pineco,50,65,90,35,35,15,290,Bug,,Sturdy,,Overcoat,Gray
235,Forretress,75,90,140,60,60,40,465,Bug,Steel,Sturdy,,Overcoat,Purple
236,Dunsparce,100,70,70,65,65,45,415,Normal,,Serene Grace,Run Away,Rattled,Yellow
237,Gligar,65,75,105,35,65,85,430,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,Purple
104,Steelix,75,85,200,55,65,30,510,Steel,Ground,Rock Head,Sturdy,Sheer Force,Gray
239,Snubbull,60,80,50,40,40,30,300,Fairy,,Intimidate,Run Away,Rattled,Pink
240,Granbull,90,120,75,60,60,45,450,Fairy,,Intimidate,Quick Feet,Rattled,Purple
241,Qwilfish,65,95,75,55,55,85,430,Water,Poison,Poison Point,Swift Swim,Intimidate,Gray
142,Scizor,70,130,100,55,80,65,500,Bug,Steel,Swarm,Technician,Light Metal,Red
242,Shuckle,20,10,230,10,230,5,505,Bug,Rock,Sturdy,Gluttony,Contrary,Yellow
243,Heracross,80,125,75,40,95,85,500,Bug,Fighting,Swarm,Guts,Moxie,Blue
244,Sneasel,55,95,55,35,75,115,430,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,Black
246,Teddiursa,60,80,50,50,50,40,330,Normal,,Pickup,Quick Feet,Honey Gather,Brown
247,Ursaring,90,130,75,75,75,55,500,Normal,,Guts,Quick Feet,Unnerve,Brown
248,Slugma,40,40,40,70,40,20,250,Fire,,Magma Armor,Flame Body,Weak Armor,Red
249,Magcargo,50,50,120,80,80,30,410,Fire,Rock,Magma Armor,Flame Body,Weak Armor,Red
250,Swinub,50,50,40,30,30,50,250,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,Brown
251,Piloswine,100,100,80,60,60,50,450,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,Brown
253,Corsola,55,55,85,65,85,35,380,Water,Rock,Hustle,Natural Cure,Regenerator,Pink
254,Remoraid,35,65,35,65,35,65,300,Water,,Hustle,Sniper,Moody,Gray
255,Octillery,75,105,75,105,75,45,480,Water,,Suction Cups,Sniper,Moody,Red
256,Delibird,45,55,45,65,45,75,330,Ice,Flying,Vital Spirit,Hustle,Insomnia,Red
258,Mantine,65,40,70,80,140,70,465,Water,Flying,Swift Swim,Water Absorb,Water Veil,Purple
259,Skarmory,65,80,140,40,70,70,465,Steel,Flying,Keen Eye,Sturdy,Weak Armor,Gray
260,Houndour,45,60,30,80,50,65,330,Dark,Fire,Early Bird,Flash Fire,Unnerve,Black
261,Houndoom,75,90,50,110,80,95,500,Dark,Fire,Early Bird,Flash Fire,Unnerve,Black
134,Kingdra,75,95,95,95,95,85,540,Water,Dragon,Swift Swim,Sniper,Damp,Blue
262,Phanpy,90,60,60,40,40,40,330,Ground,,Pickup,,Sand Veil,Blue
263,Donphan,90,120,120,60,60,50,500,Ground,,Sturdy,,Sand Veil,Gray
166,Porygon2,85,80,90,105,95,60,515,Normal,,Trace,Download,Analytic,Red
264,Stantler,73,95,62,85,65,85,465,Normal,,Intimidate,Frisk,Sap Sipper,Brown
265,Smeargle,55,20,35,20,45,75,250,Normal,,Own Tempo,Technician,Moody,White
115,Tyrogue,35,35,35,35,35,35,210,Fighting,,Guts,Steadfast,Vital Spirit,Purple
118,Hitmontop,50,95,95,35,110,70,455,Fighting,,Intimidate,Technician,Steadfast,Brown
143,Smoochum,45,30,15,85,65,65,305,Ice,Psychic,Oblivious,Forewarn,Hydration,Pink
145,Elekid,45,63,37,65,55,95,360,Electric,,Static,,Vital Spirit,Yellow
148,Magby,45,75,37,70,55,83,365,Fire,,Flame Body,,Vital Spirit,Red
266,Miltank,95,80,105,40,70,100,490,Normal,,Thick Fat,Scrappy,Sap Sipper,Pink
128,Blissey,255,10,10,75,135,55,540,Normal,,Natural Cure,Serene Grace,Healer,Pink
267,Raikou,90,85,75,115,100,115,580,Electric,,Pressure,,Volt Absorb,Yellow
268,Entei,115,115,85,90,75,100,580,Fire,,Pressure,,Flash Fire,Brown
269,Suicune,100,75,115,90,115,85,580,Water,,Pressure,,Water Absorb,Blue
270,Larvitar,50,64,50,45,50,41,300,Rock,Ground,Guts,,Sand Veil,Green
271,Pupitar,70,84,70,65,70,51,410,Rock,Ground,Shed Skin,,,Gray
272,Tyranitar,100,134,110,95,100,61,600,Rock,Dark,Sand Stream,,Unnerve,Green
273,Lugia,106,90,130,90,154,110,680,Psychic,Flying,Pressure,,Multiscale,White
274,Ho-oh,106,130,90,110,154,90,680,Fire,Flying,Pressure,,Regenerator,Red
275,Celebi,100,100,100,100,100,100,600,Psychic,Grass,Natural Cure,,,Green
276,Treecko,40,45,35,65,55,70,310,Grass,,Overgrow,,Unburden,Green
277,Grovyle,50,65,45,85,65,95,405,Grass,,Overgrow,,Unburden,Green
278,Sceptile,70,85,65,105,85,120,530,Grass,,Overgrow,,Unburden,Green
279,Torchic,45,60,40,70,50,45,310,Fire,,Blaze,,Speed Boost,Red
280,Combusken,60,85,60,85,60,55,405,Fire,Fighting,Blaze,,Speed Boost,Red
281,Blaziken,80,120,70,110,70,80,530,Fire,Fighting,Blaze,,Speed Boost,Red
282,Mudkip,50,70,50,50,50,40,310,Water,,Torrent,,Damp,Blue
283,Marshtomp,70,85,70,60,70,50,405,Water,Ground,Torrent,,Damp,Blue
284,Swampert,100,110,90,85,90,60,535,Water,Ground,Torrent,,Damp,Blue
285,Poochyena,35,55,35,30,30,35,220,Dark,,Run Away,Quick Feet,Rattled,Gray
286,Mightyena,70,90,70,60,60,70,420,Dark,,Intimidate,Quick Feet,Moxie,Gray
287,Zigzagoon,38,30,41,30,41,60,240,Normal,,Pickup,Gluttony,Quick Feet,Brown
288,Linoone,78,70,61,50,61,100,420,Normal,,Pickup,Gluttony,Quick Feet,White
289,Wurmple,45,45,35,20,30,20,195,Bug,,Shield Dust,,Run Away,Red
290,Silcoon,50,35,55,25,25,15,205,Bug,,Shed Skin,,,White
291,Beautifly,60,70,50,90,50,65,385,Bug,Flying,Swarm,,Rivalry,Yellow
292,Cascoon,50,35,55,25,25,15,205,Bug,,Shed Skin,,,Purple
293,Dustox,60,50,70,50,90,65,385,Bug,Poison,Shield Dust,,Compoundeyes,Green
294,Lotad,40,30,30,40,50,30,220,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Green
295,Lombre,60,50,50,60,70,50,340,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Green
296,Ludicolo,80,70,70,90,100,70,480,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Green
297,Seedot,40,40,50,30,30,30,220,Grass,,Chlorophyll,Early Bird,Pickpocket,Brown
298,Nuzleaf,70,70,40,60,40,60,340,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,Brown
299,Shiftry,90,100,60,90,60,80,480,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,Brown
300,Taillow,40,55,30,30,30,85,270,Normal,Flying,Guts,,Scrappy,Blue
301,Swellow,60,85,60,50,50,125,430,Normal,Flying,Guts,,Scrappy,Blue
302,Wingull,40,30,30,55,30,85,270,Water,Flying,Keen Eye,,Rain Dish,White
303,Pelipper,60,50,100,85,70,65,430,Water,Flying,Keen Eye,,Rain Dish,Yellow
304,Ralts,28,25,25,45,35,40,198,Psychic,Fairy,Synchronize,Trace,Telepathy,White
305,Kirlia,38,35,35,65,55,50,278,Psychic,Fairy,Synchronize,Trace,Telepathy,White
306,Gardevoir,68,65,65,125,115,80,518,Psychic,Fairy,Synchronize,Trace,Telepathy,White
308,Surskit,40,30,32,50,52,65,269,Bug,Water,Swift Swim,,Rain Dish,Blue
309,Masquerain,70,60,62,80,82,60,414,Bug,Flying,Intimidate,,Unnerve,Blue
310,Shroomish,60,40,60,40,60,35,295,Grass,,Effect Spore,Poison Heal,Quick Feet,Brown
311,Breloom,60,130,80,60,60,70,460,Grass,Fighting,Effect Spore,Poison Heal,Technician,Green
312,Slakoth,60,60,60,35,35,30,280,Normal,,Truant,,,Brown
313,Vigoroth,80,80,80,55,55,90,440,Normal,,Vital Spirit,,,White
